ref_name,cluster
20190208_E2,1
20190504_E1,1
20190521_E2,1
20190521_E4,1
20190806_E5,1
20190208_E3,2
20190209_E1,2
20190503_E1,2
20190516_E2,2
20190520_E2,2
20190209_E2,3
20190308_E3,3
20190503_E2,3
20190516_E3,3
20190806_E3,4
20190521_E1,4
20190523_E1,4
20190806_E4,4
20190806_E6,4
20190401_E3,5
20190122_E1,5
20190123_E1,5
20190518_E3,5
20190521_E3,5
20190308_E2,6
20190401_E1,6
20190401_E2,6
20190502_E1,6
20190517_E2,6
20190806_E1,6
20190806_E2,6
20190308_E4,7
20190403_E2,7
20190404_E2,7
20190516_E5,7
20190517_E4,7
20190402_E1,8
20190402_E2,8
20190516_E4,8
20190517_E1,8
20190518_E2,8
20190119_E1,9
20190404_E1,9
20190515_E2,9
20190516_E1,9
20190518_E1,9
20190520_E1,9
20190520_E5,9
20190515_E1,10
20190520_E4,10
20190515_E3,11
