,Cell Label,Volume (Voxels)
0,1.0,1667
1,2.0,2076
2,3.0,440
3,4.0,1560
4,5.0,2774
5,6.0,1606
6,7.0,1586
7,8.0,512
8,9.0,1128
9,10.0,1376
10,11.0,2128
11,12.0,1095
12,13.0,2281
13,14.0,805
14,15.0,144
15,16.0,590
16,17.0,2379
17,18.0,3814
18,19.0,1701
19,20.0,1409
20,21.0,2712
21,22.0,747
22,23.0,1743
23,24.0,600
24,25.0,2045
25,26.0,893
26,27.0,73
27,28.0,1665
28,29.0,1014
29,30.0,359
30,31.0,1380
31,32.0,617
32,33.0,2914
33,34.0,495
34,35.0,1665
35,36.0,1262
36,37.0,1423
37,38.0,2349
38,39.0,1507
39,40.0,901
40,41.0,4289
41,42.0,127
42,43.0,727
43,44.0,1325
44,45.0,3310
45,46.0,622
46,47.0,1460
47,48.0,578
48,49.0,718
49,50.0,159
50,51.0,764
51,52.0,809
52,53.0,3130
53,54.0,527
54,55.0,1403
55,56.0,2306
56,57.0,1470
57,58.0,2211
58,59.0,371
59,60.0,2603
60,61.0,2114
61,62.0,427
62,63.0,512
63,64.0,3750
64,65.0,3731
65,66.0,558
66,67.0,1912
67,68.0,565
68,69.0,1133
69,70.0,2627
70,71.0,892
71,72.0,492
72,73.0,961
73,74.0,1417
74,75.0,2975
75,76.0,2340
76,77.0,436
77,78.0,1370
78,79.0,119
79,80.0,1114
80,81.0,1031
81,82.0,224
82,83.0,2575
83,84.0,1506
84,85.0,437
85,86.0,1660
86,87.0,2724
87,88.0,2731
88,89.0,2734
89,90.0,1590
90,91.0,99
91,92.0,2455
92,93.0,314
93,94.0,758
94,95.0,142
95,96.0,3069
96,97.0,70
97,98.0,638
98,99.0,1122
99,100.0,212
100,101.0,41
101,102.0,1793
102,103.0,3256
103,104.0,3362
104,105.0,3455
105,106.0,1044
106,107.0,1009
107,108.0,1524
108,109.0,1762
109,110.0,5398
110,111.0,2859
111,112.0,3006
112,113.0,2931
113,114.0,1010
114,115.0,1119
115,116.0,2808
116,117.0,2819
117,118.0,3652
118,119.0,2794
119,120.0,1299
120,121.0,765
121,122.0,1584
122,123.0,2379
123,124.0,1867
124,125.0,2368
125,126.0,868
126,127.0,2887
127,128.0,134
128,129.0,1491
129,130.0,1065
130,131.0,1316
131,132.0,130
132,133.0,663
133,134.0,2029
134,135.0,2826
135,136.0,370
136,137.0,248
137,138.0,224
138,139.0,33
139,140.0,2736
140,141.0,2678
141,142.0,1092
142,143.0,976
143,144.0,2862
144,145.0,739
145,146.0,2031
146,147.0,3672
147,148.0,3213
148,149.0,84
149,150.0,89
150,151.0,2241
151,152.0,2297
152,153.0,2674
153,154.0,2655
154,155.0,383
155,156.0,844
156,157.0,78
157,158.0,1950
158,159.0,291
159,160.0,223
160,161.0,1895
161,162.0,2963
162,163.0,352
163,164.0,1458
164,165.0,1962
165,166.0,110
166,167.0,589
167,168.0,179
168,169.0,2038
169,170.0,1653
170,171.0,1628
171,172.0,1159
172,173.0,1010
173,174.0,816
174,175.0,2051
175,176.0,908
176,177.0,148
177,178.0,743
178,179.0,1632
179,180.0,1146
180,181.0,986
181,182.0,1067
182,183.0,164
183,184.0,87
184,185.0,717
185,186.0,928
186,187.0,36
187,188.0,1429
